time,stamp_sonde,stamp_ros,latitude,longitude,temperature,conductivity
1467929031506650000,1467943002000000000,1467929031487960000,34.1090625,-117.712628667,27.3269996643,686.859985352
1467929037507860000,1467943004000000000,1467929037488160000,34.1090616667,-117.712628,27.3229999542,686.91998291
1467929043509240000,1467943008000000000,1467929043486820000,34.1090615,-117.712627167,27.3080005646,687
1467929049511470000,1467943010000000000,1467929049487910000,34.1090601667,-117.712627,27.2980003357,687.020019531
1467929055512630000,1467943014000000000,1467929055487520000,34.109059,-117.712626167,27.2749996185,687
1467929061513840000,1467943016000000000,1467929061488680000,34.1090568333,-117.712624667,27.2619991302,686.969970703
1467929067515460000,1467943020000000000,1467929067488170000,34.1090546667,-117.712624,27.2369995117,686.869995117
1467929073516610000,1467943022000000000,1467929073487420000,34.109053,-117.7126235,27.2259998322,686.789978027
1467929079518080000,1467943026000000000,1467929079489410000,34.1090525,-117.712622833,27.2059993744,686.640014648
1467929085519510000,1467943028000000000,1467929085488020000,34.1090518333,-117.712622167,27.1959991455,686.58001709
1467929091520980000,1467943032000000000,1467929091488460000,34.1090503333,-117.712620667,27.1779994965,686.489990234
1467929097522070000,1467943034000000000,1467929097491700000,34.1090491667,-117.7126195,27.1700000763,686.520019531
1467929103489970000,1467943038000000000,1467929103486430000,34.1090483333,-117.712618667,27.1539993286,686.619995117
1467929109491370000,1467943040000000000,1467929109488130000,34.1090468333,-117.712618167,27.1459999084,686.690002441
1467929115492460000,1467943044000000000,1467929115485030000,34.1090448333,-117.712618,27.1299991608,686.799987793
1467929121493740000,1467943046000000000,1467929121489840000,34.1090438333,-117.712618333,27.1240005493,686.83001709
1467929127495850000,1467943050000000000,1467929127487440000,34.1090435,-117.712620333,27.1130008698,686.869995117
1467929133497100000,1467943052000000000,1467929133485760000,34.1090416667,-117.712621,27.1089992523,686.890014648
1467929139500220000,1467943056000000000,1467929139489240000,34.1090416667,-117.712623,27.1040000916,686.929992676
1467929145501500000,1467943058000000000,1467929145488570000,34.1090398333,-117.712623,27.1019992828,686.950012207
1467929151502810000,1467943062000000000,1467929151489010000,34.1090391667,-117.712622333,27.0979995728,686.969970703
1467929157504710000,1467943064000000000,1467929157489820000,34.109038,-117.7126225,27.0960006714,686.969970703
1467929163506600000,1467943068000000000,1467929163485310000,34.1090376667,-117.712623833,27.0909996033,686.900024414
1467929169508030000,1467943070000000000,1467929169488960000,34.1090356667,-117.712623667,27.0890007019,686.880004883
1467929175509130000,1467943074000000000,1467929175489730000,34.1090336667,-117.712623667,27.0890007019,686.840026855
1467929181510420000,1467943076000000000,1467929181488840000,34.1090321667,-117.712623667,27.0879993439,686.83001709
1467929187511710000,1467943080000000000,1467929187488690000,34.1090306667,-117.7126235,27.0860004425,686.789978027
1467929193513010000,1467943082000000000,1467929193493110000,34.1090283333,-117.712623,27.0839996338,686.770019531
1467929199514610000,1467943086000000000,1467929199487820000,34.109027,-117.712622333,27.0760002136,686.690002441
1467929205515480000,1467943088000000000,1467929205492860000,34.1090271667,-117.712623,27.0709991455,686.640014648
1467929211516600000,1467943092000000000,1467929211488610000,34.1090263333,-117.7126225,27.0629997253,686.549987793
1467929217517930000,1467943094000000000,1467929217487650000,34.1090243333,-117.712621667,27.0580005646,686.530029297
1467929223521120000,1467943098000000000,1467929223488730000,34.1090233333,-117.712623167,27.045999527,686.489990234
1467929229522420000,1467943100000000000,1467929229489030000,34.1090223333,-117.712623667,27.0370006561,686.469970703
1467929235523630000,1467943104000000000,1467929235490630000,34.1090215,-117.712624333,27.0149993896,686.450012207
1467929241490870000,1467943106000000000,1467929241489580000,34.1090208333,-117.712625167,27.0030002594,686.440002441
